title,totalScore,url,reviewsCount
Saka Bistro & Bar,"4,5",https://www.google.com/maps/search/?api=1&query=Saka%20Bistro%20%26%20Bar&query_place_id=ChIJ2aQ9OPPmaC4RmAkFBzxFuf0,2285
Plataran Bandung,"4,8",https://www.google.com/maps/search/?api=1&query=Plataran%20Bandung&query_place_id=ChIJybxdtwfnaC4RI9xqASBTsUk,824
House Sangkuriang Bandung,"4,5",https://www.google.com/maps/search/?api=1&query=House%20Sangkuriang%20Bandung&query_place_id=ChIJx7J8TvjmaC4RUTPQGXC9SZI,2539
RedDoorz Plus near Asia Afrika 3,"4,1",https://www.google.com/maps/search/?api=1&query=RedDoorz%20Plus%20near%20Asia%20Afrika%203&query_place_id=ChIJNcx9qCjmaC4RqY2mBrauiW0,662
Zodiak Asia Afrika Hotel Bandung,4,https://www.google.com/maps/search/?api=1&query=Zodiak%20Asia%20Afrika%20Hotel%20Bandung&query_place_id=ChIJcX25ZiTmaC4R_ASeA8NBtn4,2160
Travello Hotel,"4,4",https://www.google.com/maps/search/?api=1&query=Travello%20Hotel&query_place_id=ChIJh1CXTLjmaC4RlwtWLVhK7VA,3122
RedDoorz @ Arwiga Hotel near RS Hasan Sadikin Bandung,"4,1",https://www.google.com/maps/search/?api=1&query=RedDoorz%20%40%20Arwiga%20Hotel%20near%20RS%20Hasan%20Sadikin%20Bandung&query_place_id=ChIJc5nj413maC4RHB4VaXLnmCw,149
Kytos Hotel,"4,3",https://www.google.com/maps/search/?api=1&query=Kytos%20Hotel&query_place_id=ChIJ1wZPtZXmaC4R9e-TL_69B-Q,2763
Sheraton Bandung Hotel & Towers,"4,6",https://www.google.com/maps/search/?api=1&query=Sheraton%20Bandung%20Hotel%20%26%20Towers&query_place_id=ChIJPxTx8OLmaC4RoTFMF6688Q4,6437
Belviu Hotel Bandung,"4,5",https://www.google.com/maps/search/?api=1&query=Belviu%20Hotel%20Bandung&query_place_id=ChIJr248hPTmaC4Reb1AnTLhioc,4431
Holiday Inn Bandung Pasteur by IHG,"4,7",https://www.google.com/maps/search/?api=1&query=Holiday%20Inn%20Bandung%20Pasteur%20by%20IHG&query_place_id=ChIJPSaLsGXmaC4RtPcXs-Ng3S4,22261
ibis Bandung Pasteur,"4,5",https://www.google.com/maps/search/?api=1&query=ibis%20Bandung%20Pasteur&query_place_id=ChIJxV9GgX_maC4RK-_noZuOz5w,7420
Sensa Hotel,"4,5",https://www.google.com/maps/search/?api=1&query=Sensa%20Hotel&query_place_id=ChIJ_8NeYFvmaC4RTKNjAy4caL4,4549
The Jayakarta Suites Bandung,"4,5",https://www.google.com/maps/search/?api=1&query=The%20Jayakarta%20Suites%20Bandung&query_place_id=ChIJdZejjOHmaC4RvsRn1stE9CE,9599
d'primahotel Bandung,"4,3",https://www.google.com/maps/search/?api=1&query=d'primahotel%20Bandung&query_place_id=ChIJaYB16ormaC4RYFn-lPufHUI,2356
Four Points by Sheraton Bandung,"4,6",https://www.google.com/maps/search/?api=1&query=Four%20Points%20by%20Sheraton%20Bandung&query_place_id=ChIJ82NZME_maC4R6uYxHSeiJsU,6411
Grand Tjokro,"4,5",https://www.google.com/maps/search/?api=1&query=Grand%20Tjokro&query_place_id=ChIJyeYjCvbmaC4RO40HZ14gpjo,16319
MYPODROOM Hotel Kapsul Bandung,"4,7",https://www.google.com/maps/search/?api=1&query=MYPODROOM%20Hotel%20Kapsul%20Bandung&query_place_id=ChIJi7oy_CXmaC4R98OyI1yjMCs,348
GASBLOCK Braga by HIJI Corp,"4,4",https://www.google.com/maps/search/?api=1&query=GASBLOCK%20Braga%20by%20HIJI%20Corp&query_place_id=ChIJW-4uQGbnaC4RzuwyGGiS3M4,523
Best Western Premier La Grande,"4,6",https://www.google.com/maps/search/?api=1&query=Best%20Western%20Premier%20La%20Grande&query_place_id=ChIJsf-WmjfmaC4RzHrPQIO7gXo,8802
The Papandayan Hotel,"4,7",https://www.google.com/maps/search/?api=1&query=The%20Papandayan%20Hotel&query_place_id=ChIJ2-lNktTnaC4RLRkjxn777X8,9928
Grand Dafam Braga Bandung,"4,8",https://www.google.com/maps/search/?api=1&query=Grand%20Dafam%20Braga%20Bandung&query_place_id=ChIJe6vpRKHnaC4RVC8ZRbOyQmY,3441
favehotel Braga Bandung,"4,4",https://www.google.com/maps/search/?api=1&query=favehotel%20Braga%20Bandung&query_place_id=ChIJCSYyqzrmaC4R_bQ3y9Njhps,7018
Hotel 88 Alun Alun,"4,4",https://www.google.com/maps/search/?api=1&query=Hotel%2088%20Alun%20Alun&query_place_id=ChIJoR1x9gDnaC4RWjjSXQD8q58,1110
Hotel Ilos,"4,5",https://www.google.com/maps/search/?api=1&query=Hotel%20Ilos&query_place_id=ChIJk1Vs6HzmaC4RwLbzLB_b6J4,873
Aryaduta Bandung,"4,6",https://www.google.com/maps/search/?api=1&query=Aryaduta%20Bandung&query_place_id=ChIJ_U1EujfmaC4RwBpUSN7M6SI,9528
Golden Flower Hotel,"4,2",https://www.google.com/maps/search/?api=1&query=Golden%20Flower%20Hotel&query_place_id=ChIJE_kFiiTmaC4Rihw033ipuFk,6750
Crowne Plaza Bandung by IHG,"4,8",https://www.google.com/maps/search/?api=1&query=Crowne%20Plaza%20Bandung%20by%20IHG&query_place_id=ChIJxVTJKi7maC4RlUs6IwYBCJw,21253
Gino Feruci Braga Hotel,"4,2",https://www.google.com/maps/search/?api=1&query=Gino%20Feruci%20Braga%20Hotel&query_place_id=ChIJCSYyqzrmaC4Rv87O_Sb1-sg,5820
éL Hotel Bandung,"4,6",https://www.google.com/maps/search/?api=1&query=%C3%A9L%20Hotel%20Bandung&query_place_id=ChIJG_bHazDmaC4Rt3nMaYCG5tk,19487
de Braga by ARTOTEL,"4,6",https://www.google.com/maps/search/?api=1&query=de%20Braga%20by%20ARTOTEL&query_place_id=ChIJ6Rt6U0nnaC4RMgoC4IJ4WYg,3596
Vasaka Maison Bandung Hotel,"4,6",https://www.google.com/maps/search/?api=1&query=Vasaka%20Maison%20Bandung%20Hotel&query_place_id=ChIJY1dFSsjnaC4RYr0Jbmm0LnY,1484
Hotel Savoy Homann Bandung,"4,6",https://www.google.com/maps/search/?api=1&query=Hotel%20Savoy%20Homann%20Bandung&query_place_id=ChIJHREpHC_maC4RFhuMcU-xCU8,10158
Mad Cow Wine & Grill Bandung,"4,9",https://www.google.com/maps/search/?api=1&query=Mad%20Cow%20Wine%20%26%20Grill%20Bandung&query_place_id=ChIJ2X3CpK7naC4RoswIfnzCpoQ,1482
Kimaya Braga Bandung by HARRIS,"4,5",https://www.google.com/maps/search/?api=1&query=Kimaya%20Braga%20Bandung%20by%20HARRIS&query_place_id=ChIJ66PbeC_maC4RMxLwD6swTL0,6515
Brasserie Restaurant,"4,5",https://www.google.com/maps/search/?api=1&query=Brasserie%20Restaurant&query_place_id=ChIJXdTMDy_maC4Rz49FDYP9hHo,4
Garden Restaurant,"4,5",https://www.google.com/maps/search/?api=1&query=Garden%20Restaurant&query_place_id=ChIJ36qbXC_maC4R7TeXl_AHmPM,211
Grand Hotel Preanger,"4,5",https://www.google.com/maps/search/?api=1&query=Grand%20Hotel%20Preanger&query_place_id=ChIJVQy_Fy_maC4RG_emrQUP3B0,7727
Monumen Perjuangan Rakyat Jawa Barat,"4,5",https://www.google.com/maps/search/?api=1&query=Monumen%20Perjuangan%20Rakyat%20Jawa%20Barat&query_place_id=ChIJXRdECE3maC4Rg1r76u45BqI,19617
Museum Geologi,"4,7",https://www.google.com/maps/search/?api=1&query=Museum%20Geologi&query_place_id=ChIJveuvykzmaC4R9jRz_5tzU54,17596
Museum Perbendaharaan,"4,7",https://www.google.com/maps/search/?api=1&query=Museum%20Perbendaharaan&query_place_id=ChIJh5ueQLPnaC4RvheXJtng250,41
Nhame Asia Afrika,"4,8",https://www.google.com/maps/search/?api=1&query=Nhame%20Asia%20Afrika&query_place_id=ChIJR_h5BQDnaC4Rqgc61oviYlU,22
